(1,2,4,8),(13,10,12,16),(5,15,6,14),(11,9,3,7);   ==  802 - Proven Lower bound
( 8, 3, 4,15),( 7, 2, 1, 6),(10,13,11,14),(12, 9, 5,16);   ==  1392

Perfect



(1,2,3,4),(5,6,7,8),(9,10,11,12),(13,14,15,16);   ==  1032
(1,2,3,4),(5,6,7,8),(9,10,11,12),(13,14,15,16);   ==  1032
(1,2,3,4),(5,6,7,8),(9,10,11,12),(13,14,16,15);   ==  1081
(1,2,3,4),(5,6,7,8),(9,10,11,12),(13,15,14,16);   ==  1001
(1,2,3,4),(5,6,7,8),(9,10,11,12),(13,16,14,15);   ==  1105
(1,2,3,4),(5,6,7,8),(9,10,11,12),(14,13,16,15);   ==  1120
(1,2,3,4),(5,6,7,8),(9,10,11,12),(14,16,13,15);   ==  1153
(1,2,3,4),(5,6,7,8),(9,10,11,12),(16,13,14,15);   ==  1176
(1,2,3,4),(5,6,7,8),(9,10,11,12),(16,14,13,15);   ==  1185
(1,2,3,4),(5,6,7,8),(9,10,11,13),(12,16,14,15);   ==  1189
(1,2,3,4),(5,6,7,8),(9,10,11,13),(16,12,14,15);   ==  1191
(1,2,3,4),(5,6,7,8),(9,10,11,13),(16,14,12,15);   ==  1193
(1,2,3,4),(5,6,7,8),(9,10,11,14),(13,15,12,16);   ==  1001
(1,2,3,4),(5,6,7,8),(9,10,11,15),(16,13,14,12);   ==  1195
(1,2,3,4),(5,6,7,8),(9,10,11,15),(16,14,13,12);   ==  1204
(1,2,3,4),(5,6,7,8),(9,10,11,16),(13,15,12,14);   ==  993
(1,2,3,4),(5,6,7,8),(9,10,12,11),(13,15,14,16);   ==  970
(1,2,3,4),(5,6,7,8),(9,10,12,13),(11,15,14,16);   ==  970
(1,2,3,4),(5,6,7,8),(9,10,12,14),(11,13,15,16);   ==  968
(1,2,3,4),(5,6,7,8),(9,10,12,14),(11,15,13,16);   ==  948
(1,2,3,4),(5,6,7,8),(9,10,12,14),(11,15,16,13);   ==  947
(1,2,3,4),(5,6,7,8),(9,10,12,14),(13,15,16,11);   ==  947
(1,2,3,4),(5,6,7,8),(9,10,12,16),(11,15,13,14);   ==  936
(1,2,3,4),(5,6,7,8),(9,10,12,16),(11,15,14,13);   ==  923
(1,2,3,4),(5,6,7,8),(9,10,12,16),(13,15,14,11);   ==  923
(1,2,3,4),(5,6,7,8),(9,10,13,15),(16,14,11,12);   ==  1204
(1,2,3,4),(5,6,7,8),(9,11,13,10),(12,14,16,15);   ==  1205
(1,2,3,4),(5,6,7,8),(9,11,13,10),(12,16,14,15);   ==  1217
(1,2,3,4),(5,6,7,8),(9,11,13,10),(16,12,14,15);   ==  1219
(1,2,3,4),(5,6,7,8),(9,11,13,10),(16,14,12,15);   ==  1221
(1,2,3,4),(5,6,7,8),(9,11,13,10),(16,14,15,12);   ==  1228
(1,2,3,4),(5,6,7,8),(9,11,13,15),(16,14,10,12);   ==  1230
(1,2,3,4),(5,6,7,8),(9,13,11,15),(16,14,10,12);   ==  1230
(1,2,3,4),(5,6,7,8),(9,15,12,16),(11,10,14,13);   ==  920
(1,2,3,4),(5,6,7,8),(9,15,12,16),(13,10,14,11);   ==  920
(1,2,3,4),(5,6,7,8),(10,14,12,16),(11,15,9,13);   ==  920
(1,2,3,4),(5,6,7,8),(10,14,12,16),(13,15,9,11);   ==  920
(1,2,3,4),(5,6,7,8),(10,15,12,16),(11,9,14,13);   ==  914
(1,2,3,4),(5,6,7,8),(10,15,12,16),(13,9,14,11);   ==  914
(1,2,3,4),(5,6,7,8),(12,11,13,10),(16,14,9,15);   ==  1230
(1,2,3,4),(5,6,7,8),(12,13,11,10),(16,14,9,15);   ==  1230
(1,2,3,4),(5,6,7,8),(15,10,12,16),(11,9,14,13);   ==  907
(1,2,3,4),(5,6,7,8),(15,10,12,16),(13,9,14,11);   ==  907
(1,2,3,4),(5,6,7,8),(16,11,13,9),(12,14,10,15);   ==  1230
(1,2,3,4),(5,6,7,8),(16,11,13,9),(12,14,15,10);   ==  1231
(1,2,3,4),(5,6,7,8),(16,11,13,10),(12,14,9,15);   ==  1236
(1,2,3,4),(5,6,7,8),(16,11,13,15),(12,14,9,10);   ==  1239
(1,2,3,4),(5,6,7,8),(16,13,11,15),(12,14,9,10);   ==  1239
(1,2,3,4),(5,6,7,10),(8,11,13,9),(12,14,15,16);   ==  1239
(1,2,3,4),(5,6,7,10),(8,13,11,9),(12,14,15,16);   ==  1239
(1,2,3,4),(5,6,7,10),(16,11,13,9),(12,14,15,8);   ==  1239
(1,2,3,4),(5,6,7,10),(16,13,11,9),(12,14,15,8);   ==  1239
(1,2,3,4),(5,6,7,15),(8,11,13,16),(12,14,9,10);   ==  1242
